# Hytale Item IDs — 2026-07-04T23:10:15.528252121Z
# Format: id | maxStack | hasBlock | consumable
# Gesamt: 3690 Items (Vanilla + alle geladenen Plugins)

*Container_Bucket_State_Filled_Milk | maxStack=1 | hasBlock=true | consumable=true
*Fish_Tang_Sailfin_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Sailfin_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Sailfin_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
*Fish_Trout_Rainbow_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Trout_Rainbow_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Template_Tool_Watering_Can_State_Filled_Water | maxStack=1 | hasBlock=true | consumable=false
*Tool_Watering_Can_State_Filled_Water | maxStack=1 | hasBlock=true | consumable=false
Alchemy_Cauldron | maxStack=100 | hasBlock=true | consumable=false
Alchemy_Cauldron_Big | maxStack=100 | hasBlock=true | consumable=false
Arcade_Machine | maxStack=100 | hasBlock=true | consumable=false
Armor_Adamantite_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Adamantite_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Adamantite_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Adamantite_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Ornate_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Ornate_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Bronze_Ornate_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cindercloth_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cindercloth_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cindercloth_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cindercloth_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cotton_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cotton_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cotton_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Cotton_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Linen_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Linen_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Linen_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Linen_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Silk_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Silk_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Silk_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Silk_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Wool_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Wool_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Wool_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cloth_Wool_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Cobalt_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Cobalt_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Cobalt_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Cobalt_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Copper_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Copper_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Copper_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Copper_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Diving_Crude_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Diving_Crude_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Diving_Crude_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Diving_Crude_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Iron_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Iron_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Iron_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Iron_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Kweebec_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Kweebec_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Heavy_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Heavy_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Heavy_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Heavy_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Light_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Light_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Light_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Light_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Medium_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Medium_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Medium_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Medium_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Raven_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Raven_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Raven_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Raven_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Soft_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Soft_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Soft_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Leather_Soft_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Mithril_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Mithril_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Mithril_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Mithril_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Onyxium_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Onyxium_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Onyxium_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Onyxium_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Prisma_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Prisma_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Prisma_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Prisma_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_QA_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_QA_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_QA_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Ancient_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Ancient_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Ancient_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Ancient_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Steel_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Thorium_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Thorium_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Thorium_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Thorium_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Trooper_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Trooper_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Trooper_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Trork_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Trork_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Trork_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Trork_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Wood_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Wood_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Wood_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Wood_Legs | maxStack=1 | hasBlock=false | consumable=false
Armor_Wool_Chest | maxStack=1 | hasBlock=false | consumable=false
Armor_Wool_Hands | maxStack=1 | hasBlock=false | consumable=false
Armor_Wool_Head | maxStack=1 | hasBlock=false | consumable=false
Armor_Wool_Legs | maxStack=1 | hasBlock=false | consumable=false
Bandage_Crude | maxStack=10 | hasBlock=false | consumable=true
Bandage_Potion_Test | maxStack=10 | hasBlock=true | consumable=true
Barrier | maxStack=100 | hasBlock=true | consumable=false
Bench_Alchemy | maxStack=1 | hasBlock=true | consumable=false
Bench_Arcane | maxStack=1 | hasBlock=true | consumable=false
Bench_Armory | maxStack=1 | hasBlock=true | consumable=false
Bench_Armour | maxStack=1 | hasBlock=true | consumable=false
Bench_Builders | maxStack=1 | hasBlock=true | consumable=false
Bench_Campfire | maxStack=1 | hasBlock=true | consumable=false
Bench_Cooking | maxStack=1 | hasBlock=true | consumable=false
Bench_Farming | maxStack=1 | hasBlock=true | consumable=false
Bench_Furnace | maxStack=1 | hasBlock=true | consumable=false
Bench_Furniture | maxStack=1 | hasBlock=true | consumable=false
Bench_Loom | maxStack=1 | hasBlock=true | consumable=false
Bench_Lumbermill | maxStack=1 | hasBlock=true | consumable=false
Bench_Memories | maxStack=1 | hasBlock=true | consumable=false
Bench_Salvage | maxStack=1 | hasBlock=true | consumable=false
Bench_Tannery | maxStack=1 | hasBlock=true | consumable=false
Bench_Trough | maxStack=1 | hasBlock=true | consumable=false
Bench_Weapon | maxStack=1 | hasBlock=true | consumable=false
Bench_WorkBench | maxStack=1 | hasBlock=true | consumable=false
Block_Spawner_Block | maxStack=100 | hasBlock=true | consumable=false
Block_Spawner_Block_Large | maxStack=100 | hasBlock=true | consumable=false
Blueprint_TavernHouse | maxStack=1 | hasBlock=true | consumable=false
Build_Black_Cube | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Fence | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Half | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Pipe | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Pipe_Corner | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Roof | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Build_Black_Stairs | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Cube | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Fence | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Half | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Pipe | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Pipe_Corner | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Roof | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Build_GreyDark_Stairs | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Cube | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Fence | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Half | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Pipe | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Pipe_Corner | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Roof | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Build_GreyLight_Stairs | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Cube | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Fence | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Half | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Pipe | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Pipe_Corner | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Roof | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Build_Grey_Stairs | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_Blue | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_Cyan | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_Orange | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_Pink | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_Red | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_White | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_Yellow | maxStack=100 | hasBlock=true | consumable=false
Build_Lightsource_YellowLight | maxStack=100 | hasBlock=true | consumable=false
Build_White_Cube | maxStack=100 | hasBlock=true | consumable=false
Build_White_Fence | maxStack=100 | hasBlock=true | consumable=false
Build_White_Half | maxStack=100 | hasBlock=true | consumable=false
Build_White_Pipe | maxStack=100 | hasBlock=true | consumable=false
Build_White_Pipe_Corner | maxStack=100 | hasBlock=true | consumable=false
Build_White_Roof | maxStack=100 | hasBlock=true | consumable=false
Build_White_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Build_White_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Build_White_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Build_White_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Black | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Black_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Black_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Blue | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Blue_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Blue_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Blue_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Blue_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Blue_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Cyan | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Cyan_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Cyan_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Cyan_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Cyan_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Cyan_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Gray | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Gray_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Gray_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Gray_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Gray_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Gray_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Green | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Green_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Green_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Green_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Green_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Green_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Orange | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Orange_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Orange_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Orange_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Orange_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Orange_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Pink | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Pink_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Pink_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Pink_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Pink_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Pink_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Purple | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Purple_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Purple_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Purple_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Purple_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Purple_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Red | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Red_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Red_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Red_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Red_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Red_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_White | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_White_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_White_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Yellow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Yellow_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Yellow_Light | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Yellow_Light_Half | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Yellow_Light_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Block_Wool_Yellow_Stairs | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Blue_Roof | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Blue_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Blue_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Blue_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Blue_Roof_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Blue_Roof_Vertical_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_DarkGreen_Roof | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_DarkGreen_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_DarkGreen_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_DarkGreen_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_DarkGreen_Roof_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_DarkGreen_Roof_Vertical_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Orange_Roof | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Orange_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Orange_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Orange_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Orange_Roof_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Orange_Roof_Vertical_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Red_Roof | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Red_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Red_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Red_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Red_Roof_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Red_Roof_Vertical_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Yellow_Roof | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Yellow_Roof_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Yellow_Roof_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Yellow_Roof_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Yellow_Roof_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Modern_Yellow_Roof_Vertical_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Blue | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Blue_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Blue_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Blue_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Blue_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Blue_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Green | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Green_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Green_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Green_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Green_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Green_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Hide | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Hide_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Hide_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Hide_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Hide_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Hide_Vertical | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Leather | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Leather_Flap | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Leather_Flat | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Leather_Shallow | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Leather_Steep | maxStack=100 | hasBlock=true | consumable=false
Cloth_Roof_Leather_Vertical | maxStack=100 | hasBlock=true | consumable=false
